stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Ricoh Arena,1995-09-09,15.8,11.6,19.8,nan,nan,248.0,13.4,nan,1006.9,nan
Ricoh Arena,1995-09-30,9.9,2.5,15.5,nan,nan,nan,7.7,nan,1014.6,nan
Ricoh Arena,1995-10-21,6.9,1.0,13.5,nan,nan,nan,6.0,nan,1029.3,nan
Ricoh Arena,1995-11-04,3.0,-1.6,9.9,nan,nan,nan,4.5,nan,nan,nan
Ricoh Arena,1995-11-22,8.7,5.8,11.1,nan,nan,241.0,10.1,nan,nan,nan
Ricoh Arena,1995-11-25,9.5,8.0,11.0,nan,nan,168.0,13.5,nan,999.1,nan
Ricoh Arena,1995-12-09,-1.8,-6.5,5.3,nan,nan,nan,2.3,nan,1035.0,nan
Ricoh Arena,1995-12-23,3.0,1.3,4.8,nan,nan,30.0,14.1,nan,990.4,nan
Ricoh Arena,1996-01-01,2.0,1.1,2.9,nan,nan,nan,4.0,nan,nan,nan
Ricoh Arena,1996-01-14,8.4,6.4,9.9,nan,nan,137.0,18.4,nan,nan,nan
Ricoh Arena,1996-02-10,6.1,3.6,8.2,nan,nan,199.0,22.4,nan,996.9,nan
Ricoh Arena,1996-02-24,6.5,5.3,7.8,nan,nan,214.0,18.5,nan,nan,nan
Ricoh Arena,1996-03-02,6.5,5.3,8.1,nan,nan,330.0,12.4,nan,1029.8,nan
Ricoh Arena,1996-03-16,2.9,1.0,4.3,nan,nan,62.0,9.5,nan,1010.9,nan
Ricoh Arena,1996-04-06,4.6,1.6,7.3,nan,nan,19.0,10.9,nan,1019.9,nan
Ricoh Arena,1996-04-13,4.7,0.8,10.4,nan,nan,92.0,14.0,nan,1020.6,nan
Ricoh Arena,1996-05-05,6.4,-1.6,11.8,nan,nan,nan,3.0,nan,1019.5,nan
Ricoh Arena,1996-09-04,14.7,12.1,17.4,nan,nan,57.0,17.2,nan,1026.4,nan
Ricoh Arena,1996-09-14,10.5,1.5,18.6,nan,nan,nan,2.7,nan,1024.7,nan
Ricoh Arena,1996-09-28,14.2,11.3,17.5,nan,nan,225.0,18.7,nan,1016.6,nan
Ricoh Arena,1996-10-13,14.0,10.8,17.8,nan,nan,149.0,16.7,nan,1001.7,nan
Ricoh Arena,1996-11-23,2.9,0.3,5.1,nan,nan,282.0,11.5,nan,1013.2,nan
Ricoh Arena,1996-12-07,2.7,2.0,3.2,nan,nan,nan,2.0,nan,1026.0,nan
Ricoh Arena,1996-12-17,3.3,-0.4,6.3,nan,nan,nan,7.7,nan,1008.7,nan
Ricoh Arena,1996-12-28,0.4,-3.5,2.4,nan,nan,31.0,9.8,nan,1028.0,nan
Ricoh Arena,1997-01-01,-3.6,-8.3,-1.5,nan,nan,nan,10.5,nan,1026.0,nan
Ricoh Arena,1997-01-18,6.3,4.8,8.6,nan,nan,174.0,11.7,nan,1012.1,nan
Ricoh Arena,1997-02-22,9.6,8.6,10.7,nan,nan,211.0,20.0,nan,1020.1,nan
Ricoh Arena,1997-03-03,5.7,2.6,8.3,nan,nan,nan,7.3,nan,1030.7,nan
