,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1014,2019,12,2018-11-11,Arsenal,1,1,Wolves,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2018-11-11,11.3,9.6,13.6,21.3,,196.0,14.9,38.9,999.1,
1015,2019,14,2018-12-02,Arsenal,4,2,Tottenham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2018-12-02,14.0,11.6,14.6,7.9,,232.0,21.2,38.9,997.0,
1016,2019,16,2018-12-08,Arsenal,1,0,Huddersfield,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2018-12-08,9.9,7.6,11.6,7.4,,245.0,31.1,53.7,1002.2,
1017,2019,18,2018-12-22,Arsenal,3,1,Burnley,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2018-12-22,10.2,8.6,11.6,0.5,,249.0,21.1,33.3,1015.2,
1018,2019,21,2019-01-01,Arsenal,4,1,Fulham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-01-01,7.9,4.7,10.1,0.0,,323.0,13.5,29.6,1035.7,
1019,2019,23,2019-01-19,Arsenal,2,0,Chelsea,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-01-19,3.7,1.6,4.6,0.0,,104.0,13.7,29.6,1009.9,
1020,2019,24,2019-01-29,Arsenal,2,1,Cardiff City,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-01-29,3.4,0.6,6.6,0.0,,203.0,11.5,22.2,999.9,
1021,2019,27,2019-02-24,Arsenal,2,0,Southampton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-02-24,7.5,3.6,13.6,0.0,,73.0,8.5,22.2,1035.6,
1022,2019,28,2019-02-27,Arsenal,5,1,Bournemouth,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-02-27,10.4,3.6,18.6,0.0,,276.0,6.6,22.2,1024.8,
1023,2019,30,2019-03-10,Arsenal,2,0,Manchester Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-03-10,7.6,3.6,10.6,7.9,,248.0,29.4,75.9,1009.1,
1024,2019,32,2019-04-01,Arsenal,2,0,Newcastle Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-04-01,8.0,3.6,12.6,0.0,,77.0,14.9,29.6,1020.5,
1025,2019,35,2019-04-21,Arsenal,2,3,Crystal Palace,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-04-21,15.0,9.6,21.6,0.0,,69.0,11.9,25.9,1020.6,
1026,2019,37,2019-05-05,Arsenal,1,1,Brighton,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-05-05,8.4,4.6,11.6,0.3,,336.0,10.6,27.8,1025.8,
1027,2020,2,2019-08-17,Arsenal,2,1,Burnley,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-08-17,18.9,16.6,21.6,5.6,,230.0,18.4,40.8,1004.3,
1028,2020,4,2019-09-01,Arsenal,2,2,Tottenham,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-09-01,16.9,13.6,19.6,0.0,,280.0,14.9,31.5,1017.6,
1029,2020,6,2019-09-22,Arsenal,3,2,Aston Villa,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-09-22,18.1,15.6,22.6,0.0,,162.0,11.2,27.8,1004.3,
1030,2020,8,2019-10-06,Arsenal,1,0,Bournemouth,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-10-06,14.6,12.6,16.6,15.7,,288.0,20.3,42.6,1010.9,
1031,2020,10,2019-10-27,Arsenal,2,2,Crystal Palace,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-10-27,9.0,6.6,11.6,4.3,,297.0,11.5,22.2,1023.1,
1032,2020,11,2019-11-02,Arsenal,1,1,Wolves,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-11-02,12.6,10.6,15.6,2.3,,226.0,24.7,55.5,980.6,
1033,2020,13,2019-11-23,Arsenal,2,2,Southampton,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-11-23,8.9,7.1,10.3,1.3,,78.0,14.7,37.0,993.9,
1034,2020,15,2019-12-05,Arsenal,1,2,Brighton,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-12-05,6.1,0.6,10.6,0.0,,237.0,15.9,40.8,1018.7,
1035,2020,17,2019-12-15,Arsenal,0,3,Manchester City,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-12-15,8.1,5.6,10.6,10.9,,236.0,20.5,42.6,995.0,
1036,2020,20,2019-12-29,Arsenal,1,2,Chelsea,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2019-12-29,7.5,5.6,9.6,0.0,,213.0,10.0,24.1,1033.5,
1037,2020,21,2020-01-01,Arsenal,2,0,Manchester Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-01-01,4.9,2.5,6.4,0.0,,151.0,5.2,18.5,1029.4,
1038,2020,23,2020-01-18,Arsenal,1,1,Sheffield Utd,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-01-18,5.0,2.6,7.6,1.0,,298.0,13.0,22.2,1027.8,
1039,2020,26,2020-02-16,Arsenal,4,0,Newcastle Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-02-16,10.6,6.6,13.6,8.1,,229.0,29.7,70.4,996.0,
1040,2020,27,2020-02-23,Arsenal,3,2,Everton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-02-23,11.4,8.6,14.6,0.5,,267.0,26.3,57.4,1016.4,
1041,2020,29,2020-03-07,Arsenal,1,0,West Ham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-03-07,8.1,3.6,12.6,0.0,,232.0,17.4,44.5,1014.5,
1042,2020,32,2020-07-01,Arsenal,4,0,Norwich City,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-07-01,17.9,14.6,21.6,0.5,,245.0,19.4,37.0,1005.4,
1043,2020,34,2020-07-07,Arsenal,1,1,Leicester City,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-07-07,16.8,13.6,20.6,0.0,,267.0,12.0,33.3,1019.8,
1044,2020,36,2020-07-15,Arsenal,2,1,Liverpool,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-07-15,16.9,14.6,18.6,0.0,,296.0,12.3,25.9,1015.8,
1045,2020,38,2020-07-26,Arsenal,3,2,Watford,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-07-26,17.6,13.6,20.6,7.6,,245.0,17.8,40.8,1010.3,
1046,2021,2,2020-09-19,Arsenal,2,1,West Ham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-09-19,17.9,13.6,22.6,0.0,,55.0,17.1,40.8,1017.3,
1047,2021,4,2020-10-04,Arsenal,2,1,Sheffield Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-10-04,10.4,9.6,11.6,30.5,,226.0,17.9,44.5,982.6,
1048,2021,6,2020-10-25,Arsenal,0,1,Leicester City,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-10-25,10.7,9.6,12.6,20.8,,209.0,13.8,35.2,996.5,
1049,2021,8,2020-11-08,Arsenal,0,3,Aston Villa,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-11-08,12.6,9.6,15.6,0.3,,125.0,6.4,14.8,1018.1,
1050,2021,10,2020-11-29,Arsenal,1,2,Wolves,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-11-29,8.1,7.6,9.6,0.0,,38.0,6.5,18.5,1025.8,
1051,2021,12,2020-12-13,Arsenal,0,1,Burnley,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-12-13,7.6,3.6,11.6,0.0,,173.0,12.8,33.3,1002.1,
1052,2021,13,2020-12-16,Arsenal,1,1,Southampton,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-12-16,9.6,8.6,10.6,1.0,,156.0,14.7,37.0,1007.6,
1053,2021,15,2020-12-26,Arsenal,3,1,Chelsea,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2020-12-26,7.1,1.6,10.6,0.0,,233.0,21.9,66.7,1014.6,
1054,2021,18,2021-01-14,Arsenal,0,0,Crystal Palace,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-01-14,4.0,2.6,5.6,26.0,,66.0,17.2,29.6,1016.8,
1055,2021,19,2021-01-18,Arsenal,3,0,Newcastle Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-01-18,5.4,3.6,8.6,0.7,,233.0,15.6,33.3,1020.7,
1056,2021,21,2021-01-30,Arsenal,0,0,Manchester Utd,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-01-30,4.9,2.6,7.6,17.1,,80.0,23.7,44.5,998.4,
1057,2021,24,2021-02-14,Arsenal,4,2,Leeds United,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-02-14,2.3,0.6,3.6,0.8,,149.0,15.3,46.3,1026.1,
1058,2021,25,2021-02-21,Arsenal,0,1,Manchester City,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-02-21,11.7,8.6,14.6,0.0,,160.0,11.5,29.6,1008.6,
1059,2021,28,2021-03-14,Arsenal,2,1,Tottenham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-03-14,7.6,4.6,9.6,1.3,,261.0,25.6,44.5,1012.9,
1060,2021,30,2021-04-03,Arsenal,0,3,Liverpool,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-04-03,6.8,5.6,8.6,0.0,,39.0,13.6,33.3,1031.8,
1061,2021,32,2021-04-18,Arsenal,1,1,Fulham,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-04-18,8.9,3.6,13.6,0.0,,34.0,6.8,18.5,1025.0,
1062,2021,33,2021-04-23,Arsenal,0,1,Everton,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-04-23,8.4,2.6,13.6,0.0,,78.0,17.2,37.0,1029.0,
1063,2021,35,2021-05-09,Arsenal,3,1,West Brom,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-05-09,16.4,12.6,19.6,1.4,,204.0,16.8,38.9,997.3,
1064,2021,38,2021-05-23,Arsenal,2,0,Brighton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-05-23,10.1,5.6,12.6,5.4,,209.0,19.3,46.3,1008.4,
1065,2022,2,2021-08-22,Arsenal,0,2,Chelsea,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-08-22,17.7,15.6,20.6,15.6,,284.0,13.2,29.6,1018.8,
1066,2022,4,2021-09-11,Arsenal,1,0,Norwich City,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-09-11,19.0,17.6,22.6,0.0,,248.0,15.8,31.5,1016.1,
1067,2022,6,2021-09-26,Arsenal,3,1,Tottenham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-09-26,17.4,14.6,21.6,2.7,,185.0,10.6,29.6,1011.8,
1068,2022,8,2021-10-18,Arsenal,2,2,Crystal Palace,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-10-18,13.8,9.6,17.6,7.1,,163.0,11.5,33.3,1016.4,
1069,2022,9,2021-10-22,Arsenal,3,1,Aston Villa,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-10-22,9.6,6.6,12.6,0.0,,250.0,20.4,35.2,1020.9,
1070,2022,11,2021-11-07,Arsenal,1,0,Watford,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-11-07,10.7,8.6,12.6,0.1,,270.0,18.5,38.9,1021.2,
1071,2022,13,2021-11-27,Arsenal,2,0,Newcastle Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-11-27,3.7,2.6,5.6,2.5,,306.0,24.4,59.3,993.5,
1072,2022,16,2021-12-11,Arsenal,3,0,Southampton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-12-11,6.0,2.6,10.6,2.2,,227.0,11.0,25.9,1015.7,
1073,2022,17,2021-12-15,Arsenal,2,0,West Ham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2021-12-15,11.9,10.6,12.6,0.6,,244.0,12.8,24.1,1031.0,
1074,2022,21,2022-01-01,Arsenal,1,2,Manchester City,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-01-01,13.5,12.6,14.6,0.1,,210.0,15.7,38.9,1017.4,
1075,2022,23,2022-01-23,Arsenal,0,0,Burnley,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-01-23,5.7,5.6,6.6,0.0,,120.0,5.3,13.0,1035.2,
1076,2022,26,2022-02-19,Arsenal,2,1,Brentford,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-02-19,6.2,2.6,9.6,4.5,,243.0,25.9,55.5,1009.8,
1077,2022,20,2022-02-24,Arsenal,2,1,Wolves,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-02-24,6.7,3.6,8.6,5.3,,243.0,24.6,55.5,1011.1,
1078,2022,29,2022-03-13,Arsenal,2,0,Leicester City,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-03-13,9.3,7.6,11.6,3.9,,161.0,14.8,37.0,1008.1,
1079,2022,27,2022-03-16,Arsenal,0,2,Liverpool,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-03-16,9.2,6.6,11.6,8.0,,78.0,14.3,35.2,1018.3,
1080,2022,32,2022-04-09,Arsenal,1,2,Brighton,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-04-09,7.4,3.6,11.6,0.9,,284.0,13.0,33.3,1015.2,
1081,2022,34,2022-04-23,Arsenal,3,1,Manchester Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-04-23,12.4,9.6,14.6,0.1,,55.0,20.7,50.0,1003.8,
1082,2022,36,2022-05-08,Arsenal,2,1,Leeds United,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-05-08,11.5,7.5,16.5,0.0,,77.0,11.3,24.1,1028.9,
1083,2022,38,2022-05-22,Arsenal,5,1,Everton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-05-22,14.9,8.3,20.5,0.0,,202.0,8.3,24.1,1014.0,
1084,2023,2,2022-08-13,Arsenal,4,2,Leicester City,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-08-13,23.9,16.4,32.4,0.0,,83.0,13.7,33.3,1014.4,
1085,2023,4,2022-08-27,Arsenal,2,1,Fulham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-08-27,17.1,13.0,21.7,0.0,,61.0,7.9,22.2,1019.3,
1086,2023,5,2022-08-31,Arsenal,2,1,Aston Villa,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-08-31,16.0,11.7,20.7,0.0,,34.0,18.0,38.9,1024.0,
1087,2023,9,2022-10-01,Arsenal,3,1,Tottenham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-10-01,13.7,11.2,17.3,0.0,0.0,260.0,19.9,44.5,1006.9,
1088,2023,10,2022-10-09,Arsenal,3,2,Liverpool,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-10-09,10.8,6.9,15.6,0.0,0.0,167.0,10.3,29.6,1018.3,
1089,2023,14,2022-10-30,Arsenal,5,0,Nott'ham Forest,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-10-30,13.2,11.0,14.7,5.0,0.0,193.0,13.5,35.2,1014.6,
1090,2023,17,2022-12-26,Arsenal,3,1,West Ham,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2022-12-26,5.3,2.9,7.9,0.0,,251.0,17.2,35.2,1015.2,
1091,2023,19,2023-01-03,Arsenal,0,0,Newcastle Utd,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-01-03,7.6,3.0,11.3,2.8,,191.0,20.9,48.2,1018.6,
1092,2023,21,2023-01-22,Arsenal,3,2,Manchester Utd,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-01-22,-1.3,-2.7,1.4,0.0,,1.0,4.0,13.0,1035.8,
1093,2023,23,2023-02-11,Arsenal,1,1,Brentford,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-02-11,7.3,5.9,9.8,0.0,,256.0,9.3,20.4,1036.7,
1094,2023,12,2023-02-15,Arsenal,1,3,Manchester City,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-02-15,6.9,2.9,11.7,0.0,,192.0,11.8,29.6,1023.7,
1095,2023,7,2023-03-01,Arsenal,4,0,Everton,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-03-01,3.5,2.2,5.6,0.3,,25.0,13.9,31.5,1029.5,
1096,2023,26,2023-03-04,Arsenal,3,2,Bournemouth,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-03-04,3.6,2.3,5.6,0.1,,355.0,11.7,25.9,1029.6,
1097,2023,28,2023-03-19,Arsenal,4,1,Crystal Palace,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-03-19,7.5,5.0,10.2,2.6,,283.0,13.0,25.9,1015.6,
1098,2023,29,2023-04-01,Arsenal,4,1,Leeds United,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-04-01,8.3,6.6,9.8,0.9,,332.0,18.1,33.3,1005.6,
1099,2023,32,2023-04-21,Arsenal,3,3,Southampton,D,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-04-21,6.2,4.3,8.8,6.4,,55.0,11.4,27.8,1013.2,
1100,2023,34,2023-05-02,Arsenal,3,1,Chelsea,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-05-02,10.1,7.3,13.2,0.0,,72.0,10.9,25.9,1026.1,
1101,2023,36,2023-05-14,Arsenal,0,3,Brighton,A,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-05-14,12.1,6.7,18.2,0.0,,327.0,8.8,22.2,1021.0,
1102,2023,38,2023-05-28,Arsenal,5,0,Wolves,H,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England,Emirates Stadium,2023-05-28,13.5,7.0,19.3,0.0,,43.0,14.1,33.3,1023.5,
1103,1993,1,1992-08-15,Ipswich Town,1,1,Aston Villa,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-08-15,15.2,7.9,22.6,0.0,,,15.4,,1016.2,
1104,1993,4,1992-08-25,Ipswich Town,2,2,Liverpool,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-08-25,18.4,15.5,22.5,3.0,,241.0,27.1,,1009.9,
1105,1993,5,1992-08-30,Ipswich Town,1,1,Tottenham,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-08-30,14.3,10.0,18.3,6.1,,195.0,39.3,,,
1106,1993,8,1992-09-12,Ipswich Town,2,1,Wimbledon,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-09-12,12.1,7.5,17.1,,,212.0,19.0,,1023.8,
1107,1993,10,1992-09-26,Ipswich Town,0,0,Sheffield Utd,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-09-26,16.5,13.3,22.4,,,,,,,
1108,1993,11,1992-10-03,Ipswich Town,4,2,Leeds United,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-10-03,13.2,11.6,15.1,12.2,,91.0,15.6,,1005.3,
1109,1993,13,1992-10-24,Ipswich Town,2,2,Crystal Palace,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-10-24,4.5,2.3,9.0,6.1,,268.0,20.2,,1003.7,
1110,1993,15,1992-11-07,Ipswich Town,0,0,Southampton,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-11-07,11.0,9.4,12.8,0.0,,270.0,20.3,,1023.5,
1111,1993,17,1992-11-28,Ipswich Town,1,0,Everton,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-11-28,4.7,2.6,7.4,,,251.0,18.5,,,
1112,1993,19,1992-12-12,Ipswich Town,3,1,Manchester City,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-12-12,5.2,2.4,9.4,,,299.0,24.6,,1017.7,
1113,1993,22,1992-12-28,Ipswich Town,2,1,Blackburn,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1992-12-28,1.8,-0.6,4.1,,,84.0,14.4,,1041.2,
1114,1993,23,1993-01-09,Ipswich Town,1,2,Oldham Athletic,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-01-09,8.0,1.6,11.8,0.0,,210.0,33.9,,,
1115,1993,26,1993-01-30,Ipswich Town,2,1,Manchester Utd,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-01-30,3.9,1.7,4.8,,,214.0,8.4,,1025.3,
1116,1993,28,1993-02-09,Ipswich Town,1,1,QPR,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-02-09,5.2,4.7,5.8,1.0,,84.0,15.5,,,
1117,1993,29,1993-03-02,Ipswich Town,0,1,Middlesbrough,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-03-02,2.1,1.8,2.7,0.0,,57.0,26.0,,1013.7,
1118,1993,33,1993-03-10,Ipswich Town,0,1,Sheffield Weds,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-03-10,5.6,-2.2,12.3,,,234.0,13.8,,1021.3,
1119,1993,35,1993-03-20,Ipswich Town,0,0,Coventry City,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-03-20,5.5,-1.1,12.1,0.0,,,,,,
1120,1993,32,1993-04-06,Ipswich Town,1,1,Chelsea,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-04-06,8.8,7.0,12.8,,,263.0,36.5,,,
1121,1993,38,1993-04-10,Ipswich Town,1,2,Arsenal,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-04-10,7.8,3.0,13.4,,,191.0,15.5,,1008.7,
1122,1993,40,1993-04-19,Ipswich Town,3,1,Norwich City,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-04-19,11.5,8.5,14.7,,,236.0,19.4,,1016.5,
1123,1993,42,1993-05-08,Ipswich Town,2,1,Nott'ham Forest,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-05-08,10.0,6.5,15.1,,,37.0,32.9,,1026.1,
1124,1994,2,1993-08-17,Ipswich Town,1,0,Southampton,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-08-17,14.5,8.4,20.1,,,63.0,11.5,,1030.1,
1125,1994,3,1993-08-21,Ipswich Town,1,0,Chelsea,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-08-21,16.4,11.7,20.5,0.0,,340.0,11.4,,1019.0,
1126,1994,6,1993-08-31,Ipswich Town,1,1,Newcastle Utd,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-08-31,12.3,7.2,18.2,,,343.0,13.7,,1029.3,
1127,1994,8,1993-09-18,Ipswich Town,1,2,Aston Villa,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-09-18,11.0,5.9,15.8,0.0,,93.0,10.9,,1021.8,
1128,1994,9,1993-09-26,Ipswich Town,2,2,Tottenham,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-09-26,10.0,9.0,13.1,5.1,,315.0,25.1,,,
1129,1994,11,1993-10-17,Ipswich Town,0,0,Leeds United,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-10-17,4.8,-1.6,11.1,0.0,,0.0,16.2,,,
1130,1994,13,1993-10-30,Ipswich Town,0,2,Everton,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-10-30,7.9,,8.7,,,,,,,
1131,1994,14,1993-11-06,Ipswich Town,1,4,Sheffield Weds,A,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-11-06,8.4,7.0,10.2,,,41.0,22.4,,1010.9,
1132,1994,17,1993-11-27,Ipswich Town,1,0,Blackburn,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-11-27,3.9,2.4,6.8,,,46.0,13.5,,,
1133,1994,18,1993-12-04,Ipswich Town,0,0,Oldham Athletic,D,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-12-04,8.2,2.4,12.3,0.5,,239.0,30.8,,1010.1,
1134,1994,21,1993-12-18,Ipswich Town,2,1,Norwich City,H,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England,Portman Road,1993-12-18,10.0,7.4,11.6,0.5,,203.0,27.7,,1010.2,
