,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
27,1994,18,1993-12-04,Coventry City,1,0,Arsenal,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-12-04,8.4,3.8,11.5,,,253.0,22.0,,1009.4,
28,1994,21,1993-12-18,Coventry City,1,1,Oldham Athletic,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-12-18,10.9,8.3,12.3,,,211.0,26.4,,1006.1,
29,1994,25,1994-01-03,Coventry City,1,1,Swindon Town,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-01-03,4.3,1.7,6.6,,,181.0,15.3,,,
30,1994,27,1994-01-22,Coventry City,0,1,QPR,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-01-22,8.1,6.6,9.6,,,242.0,12.2,,1024.9,
31,1994,23,1994-02-02,Coventry City,1,0,Ipswich Town,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-02-02,2.1,-0.6,6.4,,,196.0,10.3,,,
32,1994,30,1994-02-19,Coventry City,4,0,Manchester City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-02-19,2.4,-0.1,5.9,,,124.0,15.1,,1019.6,
33,1994,32,1994-03-06,Coventry City,0,1,Aston Villa,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-03-06,7.5,4.5,9.9,,,245.0,22.0,,,
34,1994,35,1994-03-26,Coventry City,2,1,Norwich City,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-03-26,5.9,2.3,10.1,,,325.0,10.4,,1020.7,
35,1994,36,1994-04-02,Coventry City,1,2,Wimbledon,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-04-02,4.3,2.4,8.6,,,266.0,20.7,,1004.1,
36,1994,38,1994-04-09,Coventry City,1,0,Tottenham,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-04-09,3.8,1.1,7.2,,,270.0,15.6,,991.0,
37,1994,41,1994-05-02,Coventry City,2,1,Blackburn,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-05-02,11.6,7.4,16.6,,,136.0,15.5,,1024.4,
38,1995,1,1994-08-20,Coventry City,1,1,Wimbledon,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-08-20,15.4,12.4,19.6,,,255.0,9.5,,,
39,1995,4,1994-08-29,Coventry City,0,1,Aston Villa,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-08-29,14.4,10.6,18.6,,,273.0,12.8,,1015.3,
40,1995,6,1994-09-17,Coventry City,2,1,Leeds United,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1994-09-17,10.5,7.8,14.6,,,310.0,15.1,,1021.4,
